Open,High,Low,Close,Volume,TradingDate
91300.0,91600.0,90000.0,90000.0,1158400,2022-02-11
88100.0,88800.0,86000.0,86000.0,3629100,2022-02-14
86000.0,88300.0,83800.0,87000.0,2453500,2022-02-15
87500.0,87900.0,86400.0,87000.0,1286000,2022-02-16
87000.0,87700.0,86800.0,87500.0,1431200,2022-02-17
86400.0,87500.0,86400.0,87200.0,1066200,2022-02-18
86600.0,87600.0,86600.0,87400.0,1017900,2022-02-21
87000.0,87000.0,85000.0,86800.0,1540200,2022-02-22
87000.0,87000.0,85800.0,86900.0,986300,2022-02-23
86700.0,86800.0,85000.0,85300.0,2078700,2022-02-24
85300.0,85900.0,85000.0,85100.0,1616500,2022-02-25
85100.0,85100.0,84400.0,84500.0,1322100,2022-02-28
84500.0,85400.0,84100.0,85000.0,1295400,2022-03-01
85600.0,85600.0,84200.0,85000.0,1655600,2022-03-02
85000.0,85500.0,84700.0,85500.0,1052200,2022-03-03
85200.0,85500.0,84800.0,84900.0,1058100,2022-03-04
84300.0,84900.0,83900.0,84900.0,1002800,2022-03-07
83800.0,84500.0,81500.0,81500.0,2936300,2022-03-08
81800.0,83100.0,81700.0,83000.0,1325300,2022-03-09
83000.0,83700.0,82900.0,83500.0,1154100,2022-03-10
83700.0,83900.0,83000.0,83800.0,876100,2022-03-11
83300.0,84200.0,83200.0,84200.0,1438200,2022-03-14
84000.0,84100.0,81000.0,81100.0,2385900,2022-03-15
81300.0,83200.0,81300.0,82500.0,1000600,2022-03-16
83000.0,83500.0,82700.0,83000.0,1222400,2022-03-17
83100.0,85200.0,82900.0,84200.0,1406600,2022-03-18
84200.0,85500.0,84000.0,84900.0,933900,2022-03-21
84900.0,85500.0,84900.0,84900.0,775100,2022-03-22
84900.0,85600.0,84900.0,84900.0,966600,2022-03-23
84900.0,84900.0,83500.0,83500.0,570200,2022-03-24
84000.0,84000.0,82000.0,82500.0,1137800,2022-03-25
83000.0,83000.0,82000.0,82400.0,725400,2022-03-28
82400.0,83000.0,81600.0,81900.0,1018600,2022-03-29
81800.0,83500.0,81500.0,82000.0,913900,2022-03-30
82000.0,82600.0,82000.0,82100.0,492400,2022-03-31
82100.0,83600.0,81100.0,82800.0,900300,2022-04-01
83200.0,84100.0,82600.0,82600.0,712000,2022-04-04
82800.0,83200.0,82600.0,83000.0,526100,2022-04-05
82900.0,85000.0,81700.0,84600.0,2009600,2022-04-06
84900.0,85200.0,83000.0,83000.0,928000,2022-04-07
83900.0,83900.0,82900.0,83000.0,788200,2022-04-08
83000.0,83200.0,81600.0,82400.0,841300,2022-04-12
83000.0,83100.0,82000.0,82400.0,850700,2022-04-13
82400.0,82900.0,81000.0,81000.0,1151400,2022-04-14
81200.0,81500.0,80200.0,80200.0,894800,2022-04-15
80000.0,80200.0,77600.0,77700.0,1237300,2022-04-18
77800.0,78500.0,77600.0,77700.0,1003400,2022-04-19
78000.0,78900.0,77700.0,78400.0,904600,2022-04-20
78400.0,79200.0,78200.0,78400.0,2178200,2022-04-21
79100.0,82600.0,79100.0,82200.0,2776600,2022-04-22
